Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Domantas Sabonis,27,C,82,82,2928,23.2,0.637,0.081,0.389,11,32.3,21.4,33.9,1.2,1.5,17.9,22.2,8.6,4,12.6,0.206,4,2.4,6.5,6.2
De'Aaron Fox,26,PG,74,74,2659,20.1,0.567,0.374,0.273,2.8,11.8,7.2,25.2,2.7,1.1,10.1,31,3.3,3.2,6.5,0.117,2.6,0.1,2.7,3.2
Keegan Murray,23,SF,77,77,2588,13.3,0.569,0.524,0.127,4.5,13.9,9.1,6.9,1.5,2.1,5.9,18.1,2.6,2.6,5.2,0.096,-0.4,-0.5,-0.9,0.8
Harrison Barnes,31,PF,82,82,2381,11.9,0.611,0.526,0.268,3.1,8.8,5.9,5.6,1.1,0.5,6.6,15.7,3.1,1.5,4.7,0.094,-0.6,-1.2,-1.8,0.1
Malik Monk,25,SG,72,0,1872,16,0.564,0.474,0.23,1.6,11.3,6.3,28.9,1.2,1.9,13.2,25.9,1.9,1.6,3.5,0.09,1.5,-1,0.6,1.2
Kevin Huerter,25,SG,64,59,1562,12.4,0.564,0.609,0.084,2.7,13.6,8,14.4,1.4,1.3,8.4,17.3,1.5,1.4,2.9,0.089,-0.5,-0.4,-0.8,0.5
Trey Lyles,28,PF,58,0,1158,11.9,0.596,0.682,0.218,5.8,19.4,12.4,8.1,0.7,1.5,9.7,14.4,1.3,1,2.4,0.098,-0.4,-0.7,-1.1,0.3
Davion Mitchell,25,PG,72,4,1101,9.3,0.555,0.489,0.13,1.9,7.9,4.8,16,0.7,0.2,11.2,14.9,0.8,0.6,1.3,0.059,-2.4,-1,-3.4,-0.4
Keon Ellis,24,SG,57,21,978,12,0.627,0.724,0.151,3.6,10.8,7.1,11.1,2.5,2.7,13,12.4,1.1,1.2,2.3,0.114,-0.9,2.1,1.2,0.8
Chris Duarte,26,SF,59,11,719,8.4,0.512,0.605,0.157,4,12.7,8.3,7.8,1.9,1,10.4,14.9,0,0.7,0.7,0.047,-3.5,0.1,-3.4,-0.2
Sasha Vezenkov,28,PF,42,0,511,13.3,0.569,0.628,0.079,6.4,14.8,10.5,5.1,1.9,1.3,5.7,17.5,0.5,0.5,1,0.098,-0.2,-0.7,-0.9,0.1
Alex Len,30,C,48,0,444,14.7,0.625,0.037,0.42,11.3,21.2,16.1,14.4,1.2,6.8,22,11.8,0.6,0.7,1.3,0.138,-2.7,2.9,0.2,0.2
JaVale McGee,36,C,46,0,339,19,0.609,0.053,0.341,13.6,28.4,20.8,7.6,2,5.4,18.3,23.4,0.1,0.6,0.7,0.101,-1.9,0.6,-1.3,0.1
Kessler Edwards,23,SF,54,0,275,10.3,0.541,0.634,0.11,3.6,13.7,8.5,7.1,1.8,1.3,4.4,14,0.2,0.3,0.5,0.083,-1.6,0.1,-1.5,0
Colby Jones,21,SG,30,0,192,8.9,0.422,0.31,0.155,9.7,13.7,11.7,13.9,1.8,2.4,11.6,19.1,-0.2,0.2,0,0.007,-5.4,0.4,-5,-0.1
Juan Toscano-Anderson,30,SF,11,0,53,2.5,0.292,0.333,0,8.3,21.6,14.8,9,0.9,1.7,14.3,11.3,-0.1,0.1,0,-0.024,-8.7,-0.6,-9.4,-0.1
Jalen Slawson,24,SF,12,0,37,6.6,0.667,0.333,0,3,18.6,10.6,6.9,1.3,2.5,25,9.2,0,0,0,0.058,-7.5,1.1,-6.4,0
Mason Jones,25,SG,5,0,28,5.8,0.394,0.875,0.25,3.9,16.4,10,21.7,1.7,0,18.4,16.6,0,0,0,-0.018,-5.4,0,-5.5,0
Jordan Ford,25,PG,6,0,22,16.8,0.761,0.429,0.286,0,10.4,5.1,12.8,0,0,11.3,17.3,0.1,0,0.1,0.157,3.3,-1.1,2.2,0
Filip Petrušev,23,C,2,0,7,5.5,0.521,0,1,0,0,0,0,0,0,0,17.6,0,0,0,0.015,-5.5,-3.9,-9.3,0
