first_name,last_name,season,season_type,league,team,games,starts,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,blocked_shot_attempts,offensive_rebounds,defensive_rebounds,assists,screen_assists,turnovers,steals,deflections,loose_balls_recovered,blocked_shots,personal_fouls,personal_fouls_drawn,offensive_fouls,charges_drawn,technical_fouls,flagrant_fouls,ejections,points_off_turnovers,points_in_paint,second_chance_points,fast_break_points,possessions,estimated_possessions,team_possessions,usage_percentage,true_shooting_percentage,three_point_attempt_rate,free_throw_rate,offensive_rebounding_percentage,defensive_rebounding_percentage,total_rebounding_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,internal_box_plus_minus,first_name_norm_x,last_name_norm_x,full_name_norm_x,in_nba,plus_minus,calculated_possessions,plays_used,birth_date,first_name_norm_y,last_name_norm_y,full_name_norm_y
A.C.,Voronov,2021.0,Full Season,EuroCup,Golden Hurricane,6.0,0.0,42.85,20.0,7.0,15.0,0.0,0.0,6.0,7.0,1.0,7.0,7.0,4.0,0.0,3.0,2.0,0.0,0.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.9382,74.9382,988.1106,24.0353,0.5531,0.0,0.4667,21.6468,22.5867,21.4546,15.8234,2.466,5.9296,14.2315,6.3952,a.c.,voronov,a.c.|voronov,False,,,,1993-11-30,a.c.,voronov,a.c.|voronov
A.J.,Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977-06-16,a.j.,austin,a.j.|austin
Aaron,Birch,2021.0,Full Season,EuroCup,Chippewas,4.0,4.0,89.34,23.0,6.0,24.0,1.0,6.0,8.0,10.0,3.0,3.0,5.0,1.0,0.0,3.0,10.0,0.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.1474,159.1474,944.1355,20.4409,0.33430000000000004,0.2,0.33330000000000004,3.9207,8.2816,6.7648,3.6897,6.0478,0.0,8.0214,-6.1803,aaron,birch,aaron|birch,False,,,,1995-06-04,aaron,birch,aaron|birch
Abalde,Tuncer,2021.0,Full Season,EuroCup,Jaspers,4.0,2.0,89.71,51.0,19.0,36.0,2.0,3.0,7.0,11.0,3.0,4.0,7.0,6.0,0.0,8.0,2.0,0.0,0.0,1.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.4614,161.4614,935.9072,28.2436,0.5817,0.07690000000000001,0.2821,5.0134,12.54,7.2827,12.7658,1.4445000000000001,1.1544,15.4321,-3.6774,abalde,tuncer,abalde|tuncer,False,,,,1991-06-21,abalde,tuncer,abalde|tuncer
Abass,Warren,2021.0,Full Season,EuroCup,Golden Hurricane,14.0,14.0,389.59,234.0,40.0,69.0,40.0,102.0,34.0,36.0,7.0,8.0,32.0,48.0,0.0,23.0,12.0,0.0,0.0,1.0,30.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.3344,681.3344,988.1106,26.3154,0.6262,0.5965,0.21050000000000002,3.4182,10.2358,7.7597000000000005,24.7464,1.4292,0.6304000000000001,10.9607,5.4693,abass,warren,abass|warren,True,,,,1991-05-20,abass,warren,abass|warren
Abass,Warren,2014.0,Full Season,NBA,Rockets,22.0,0.0,252.2333,101.0,13.0,32.0,18.0,55.0,21.0,29.0,6.0,7.0,17.0,22.0,0.0,21.0,8.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,504.7897,8543.4672,20.9424,0.5062,0.6322,0.33330000000000004,2.4061,7.6713000000000005,5.0561,14.057,1.8209,1.2115,17.3899,-3.9303,abass,warren,abass|warren,,-38.0,553.0,122.0,1991-05-20,abass,warren,abass|warren
Abass,Warren,2015.0,Full Season,NBA,,47.0,21.0,937.9333,432.0,55.0,132.0,91.0,246.0,49.0,60.0,28.0,18.0,69.0,98.0,0.0,62.0,29.0,0.0,0.0,3.0,83.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1980.0,1883.5956,8606.09,21.5816,0.5352,0.6501,0.1588,2.9342,7.9747,4.1509,19.2227,1.8182,0.0609,13.3465,-0.8507,abass,warren,abass|warren,,-62.0,1980.0,468.0,1991-05-20,abass,warren,abass|warren
Abass,Warren,2016.0,Full Season,NBA,76ers,77.0,39.0,1965.8833,846.0,84.0,237.0,176.0,485.0,150.0,180.0,39.0,20.0,154.0,137.0,0.0,91.0,56.0,0.0,0.0,12.0,133.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4261.0,4011.5054,8082.6631,19.8769,0.528,0.6717000000000001,0.24930000000000002,1.412,9.3188,5.7277000000000005,13.1672,1.6812,0.4716,10.1995,-2.347,abass,warren,abass|warren,,-494.0,4261.0,886.0,1991-05-20,abass,warren,abass|warren
Abass,Warren,2017.0,Full Season,NBA,Bulls,42.0,2.0,687.4333,216.0,46.0,91.0,30.0,108.0,34.0,39.0,9.0,6.0,48.0,41.0,10.0,26.0,25.0,48.0,21.0,1.0,41.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1439.5,1361.4188,8404.9769,15.4039,0.49960000000000004,0.5427000000000001,0.196,0.024,7.4573,3.3641,9.2966,2.0574,0.0392,10.7367,-3.1244,abass,warren,abass|warren,,-113.0,1439.5,242.0,1991-05-20,abass,warren,abass|warren
Abass,Warren,2018.0,Full Season,NBA,,20.0,1.0,421.6333,172.0,30.0,71.0,22.0,66.0,46.0,51.0,12.0,6.0,39.0,76.0,1.0,29.0,16.0,31.0,22.0,1.0,36.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.5,880.4761,8245.4727,18.9573,0.5377000000000001,0.4807,0.3715,0.708,9.64,4.748,27.5957,1.8822,0.4791,15.3267,-1.2871000000000001,abass,warren,abass|warren,,21.0,907.5,191.0,1991-05-20,abass,warren,abass|warren
